"YEAR","NEWCOURSECODE","NEWCOURSETITLE","STUDYLEVEL","COMMUTELENGTH","ACCOMMODATIONTYPE","CAMPUSPOSTCODE","AVERAGEMODULEMARK","PERCENTAGEATTENDANCE","DEGREETYPE","DEGREECLASS"
"2016/17","BLLAW02F","LLB Law FT","Level 5",7.28,"Other inc. Private Halls","W1B 2HW",56,5.26,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 6",7.28,"Other inc. Private Halls","W1B 2HW",67,16.33,"LLB","2:i"
"2016/17","BSFIN01F","BSc Finance FT","Level 5",5.21,"Commuter","NW1 5LS",72,52.94,"BSc","1st"
"2017/18","BSFIN01F","BSc Finance FT","Level 6",5.21,"Commuter","NW1 5LS",69,61.54,"BSc","2:i"
"2016/17","BLLAW01F","LLB European Legal Studies FT","Level 6",27.61,"Unknown","W1B 2HW",68,35.14,"LLB","2:i"
"2016/17","BACRI02F","BA Sociology and Criminology FT","Level 5",7.16,"Commuter","W1B 2HW",50,18.18,"BA","2:ii"
"2017/18","BACRI02F","BA Sociology and Criminology FT","Level 6",7.16,"Commuter","W1B 2HW",42,4.76,"BA","3rd"
"2017/18","BSFIN01F","BSc Finance FT","Level 4",0.2,"Other inc. Private Halls","NW1 5LS",56,78.38,"BSc","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 6",11.03,"Commuter","NW1 5LS",63,61.62,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 4",6.07,"UoW Halls","NW1 5LS",55,36.14,"BA","2:ii"
"2017/18","BSPSY01F","BSc Cognitive and Clinical Neuroscience FT","Level 4",2.75,"Other inc. Private Halls","W1W 6XH",56,50.7,"BSc","2:ii"
"2016/17","BAHIS03F","BA History FT","Level 6",6.74,"Commuter","W1B 2HW",66,40.32,"BA","2:i"
"2016/17","BECON04F","BEng Computer Systems & Robotics FT","Level 4",1.28,"Other inc. Private Halls","W1W 6XH",61,70.08,"BEng","2:i"
"2017/18","BECON04F","BEng Computer Systems & Robotics FT","Level 5",1.28,"Other inc. Private Halls","W1W 6XH",60,59.83,"BEng","2:i"
"2016/17","BABSM07F","BA International Business FT","Level 4",3.38,"Commuter","NW1 5LS",54,68.97,"BA","2:ii"
"2017/18","BSACC01F","BSc Accounting FT","Level 4",3.38,"Commuter","NW1 5LS",61,78.85,"BSc","2:i"
"2017/18","BAMRK02F","BA Marketing Communications FT","Level 5",2.06,"Other inc. Private Halls","NW1 5LS",70,59.46,"BA","1st"
"2016/17","BAJMC06F","BA Television Production FT","Level 5",0.97,"Other inc. Private Halls","HA1 3TP",63,15.15,"BA","2:i"
"2017/18","BAJMC06F","BA Television Production FT","Level 6",0.97,"Other inc. Private Halls","HA1 3TP",69,9.64,"BA","2:i"
"2016/17","BMMUS01F","BMus Commercial Music Performance FT","Level 5",4.32,"Other inc. Private Halls","HA1 3TP",65,37.1,"BMus","2:i"
"2016/17","BLLAW02F","LLB Law FT","Level 4",7.91,"Commuter","W1B 2HW",45,44.55,"LLB","3rd"
"2017/18","BLLAW02F","LLB Law FT","Level 5",7.91,"Commuter","W1B 2HW",22,37.04,"LLB","3rd"
"2016/17","BAADS02F","BA Graphic Communication Design FT","Level 5",7.26,"Unknown","HA1 3TP",57,13.7,"BA","2:ii"
"2017/18","BAADS02F","BA Graphic Communication Design FT","Level 6",7.26,"Unknown","HA1 3TP",67,12.5,"BA","2:i"
"2016/17","BAMRK02F","BA Marketing Communications FT","Level 4",8.2,"Commuter","NW1 5LS",69,75.68,"BA","2:i"
"2017/18","BAMRK02F","BA Marketing Communications FT","Level 5",8.2,"Commuter","NW1 5LS",60,40.54,"BA","2:i"
"2017/18","BSBIO02F","BSc Biological Sciences FT","Level 4",7.05,"Other inc. Private Halls","W1W 6XH",60,75,"BSc","2:i"
"2017/18","BATFM01F","BA Film FT","Level 4",0.59,"UoW Halls","HA1 3TP",69,55.91,"BA","2:i"
